time,ip,attack_type,risk,confidence,action
2025-10-11 21:06:48,172.18.0.1,Brute Force Attack,Medium,0.95,Monitor source IP closely
2025-10-11 21:06:49,172.18.0.1,Brute Force Attack,Medium,0.95,Monitor source IP closely
2025-10-11 21:06:50,172.18.0.1,Brute Force Attack,Medium,0.95,Monitor source IP closely
2025-10-11 21:06:51,172.18.0.1,Brute Force Attack,Medium,0.85,Monitor source IP closely
2025-10-11 21:06:52,172.18.0.1,SQL Injection,Critical,0.95,Immediately block source IP
2025-10-11 21:06:53,172.18.0.1,SQL Injection,High,0.95,Block source IP address
2025-10-11 21:06:55,172.18.0.1,Brute Force Attack,Medium,0.95,Monitor source IP closely
2025-10-11 21:06:57,172.18.0.1,Brute Force Attack,High,0.95,Block source IP address
2025-10-11 21:06:59,172.18.0.1,Brute Force Attack,Medium,0.95,Monitor source IP closely
2025-10-11 21:07:00,172.18.0.1,Brute Force Attack,High,0.95,Block source IP address
2025-10-11 21:07:01,172.18.0.1,Brute Force Attack,Medium,0.95,Monitor source IP closely
2025-10-11 21:07:02,172.18.0.1,Brute Force Attack,Critical,0.95,Immediately block source IP
2025-10-11 21:07:03,172.18.0.1,Brute Force Attack,Critical,0.95,Immediately block source IP
2025-10-11 21:07:04,172.18.0.1,Brute Force Attack,Medium,0.95,Monitor source IP closely
2025-10-11 21:07:06,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:07,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:08,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:09,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:10,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:11,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:12,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:12,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:13,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:14,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:15,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:16,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:17,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:18,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:19,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:20,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:21,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
2025-10-11 21:07:22,172.18.0.1,DDoS,Critical,0.95,Immediately block source IP
